ID,朝代,题材,设色,材质（出版）,形制,色彩1,占比1,色彩2,占比2,色彩3,占比3,色彩4,占比4,色彩5,占比5,色彩6,占比6,色彩7,占比7,色彩8,占比8,色彩9,占比9,色彩10,占比10,色彩11,占比11,色彩12,占比12,色彩13,占比13,色彩14,占比14,色彩15,占比15,色彩16,占比16,色彩17,占比17,色彩18,占比18,色彩19,占比19,色彩20,占比20
D016355,宋,山水,水墨,绢本,手卷,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016357,宋,山水,设色,绢本,立轴,0,0,C3,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016361,宋,山水,设色,绢本,册页,C4,0.7697,C3,0.1695,C27,0.0542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016364,宋,山水,设色,绢本,团扇,0,0,C5,0.1465,C21,0.0392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016365,宋,山水,设色,绢本,团扇,0,0,C6,0.0349,C7,0.0074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016366,宋,山水,设色,绢本,册页,C4,0.7214,C24,0.2277,C13,0.0239,C16,0.0213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016367,宋,山水,设色,绢本,册页,C11,0.7659,C32,0.1604,C3,0.0452,C8,0.0277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016368,宋,山水,设色,绢本,团扇,C4,0.7348,C23,0.2414,C21,0.0101,C9,0.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016369,宋,山水,设色,绢本,册页,0,0,C5,0.1067,C13,0.0515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016370,宋,山水,设色,绢本,团扇,0,0,C23,0.0896,C10,0.0235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016371,宋,山水,设色,绢本,团扇,C11,0.7971,C6,0.1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016372,宋,山水,设色,绢本,团扇,C4,0.5376,C23,0.4351,C7,0.0098,C12,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016373,宋,山水,设色,绢本,团扇,C4,0.4414,C24,0.4211,C13,0.1185,C1,0.0103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016376,宋,山水,设色,绢本,团扇,C9,0.5481,C6,0.1835,C32,0.1187,C53,0.1088,C11,0.0189,C14,0.0069,C15,0.0069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016377,宋,山水,设色,绢本,团扇,C9,0.6875,C21,0.1456,C16,0.0987,C23,0.0552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016378,宋,山水,设色,绢本,团扇,C4,0.6611,C23,0.3324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016379,宋,山水,设色,绢本,团扇,C16,0.7323,C17,0.1338,C18,0.0825,C13,0.0357,C1,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016380,宋,山水,设色,绢本,册页,0,0,C21,0.1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016381,宋,山水,设色,绢本,团扇,C16,0.7381,C17,0.1698,C20,0.0712,C19,0.0137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016382,宋,山水,设色,绢本,团扇,C16,0.5857,C17,0.2759,C20,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016385,宋,山水,设色,绢本,团扇,0,0,C5,0.1335,C12,0.0051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016386,宋,山水,设色,绢本,团扇,0,0,C3,0.1581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016390,宋,山水,设色,绢本,团扇,C10,0.6916,C16,0.2085,C5,0.0801,C20,0.0053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016394,宋,山水,设色,绢本,团扇,C16,0.5571,C5,0.3888,C4,0.0165,C11,0.0164,C21,0.0126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016406,宋,山水,设色,绢本,团扇,C4,0.6826,C21,0.2618,C23,0.0362,C7,0.0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016407,宋,山水,设色,绢本,团扇,C4,0.786,C21,0.1363,C9,0.0455,C23,0.0159,C8,0.0107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016409,宋,山水,设色,绢本,团扇,C4,0.7872,C9,0.1758,C19,0.0182,C5,0.0112,C8,0.0061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016411,宋,山水,设色,绢本,团扇,0,0,C3,0.0627,C9,0.0086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016412,宋,山水,设色,绢本,团扇,0,0,C3,0.1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016413,宋,山水,设色,绢本,团扇,0,0,C23,0.0958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016414,宋,山水,设色,绢本,团扇,0,0,C6,0.0773,C22,0.0058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016415,宋,山水,设色,绢本,团扇,C16,0.751,C4,0.1933,C23,0.0466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016416,宋,山水,设色,绢本,团扇,0,0,C21,0.1596,C23,0.0091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016417,宋,山水,设色,绢本,团扇,0,0,C6,0.0812,C3,0.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016418,宋,山水,设色,绢本,团扇,0,0,C6,0.144,C3,0.0157,C32,0.0111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016419,宋,山水,设色,绢本,团扇,C19,0.7994,C3,0.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016420,宋,山水,设色,绢本,团扇,C23,0.5032,C9,0.4813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016421,宋,山水,设色,绢本,团扇,C9,0.6146,C4,0.3624,C6,0.0087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016422,宋,山水,设色,绢本,团扇,0,0,C4,0.0628,C6,0.0452,C21,0.0394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016423,宋,山水,设色,绢本,团扇,0,0,C6,0.034,C23,0.0076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016425,宋,山水,设色,绢本,册页,0,0,C3,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016427,宋,山水,设色,绢本,册页,C4,0.6922,C3,0.3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016428,宋,山水,设色,绢本,团扇,0,0,C5,0.0817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016429,宋,山水,设色,绢本,团扇,0,0,C3,0.1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016430,宋,山水,设色,绢本,团扇,0,0,C4,0.118,C3,0.0237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016431,宋,山水,设色,绢本,团扇,C17,0.7906,C3,0.1826,C16,0.0185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016432,宋,山水,设色,绢本,团扇,0,0,C3,0.1184,C4,0.0053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016433,宋,山水,设色,绢本,手卷,0,0,C23,0.0216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016434,宋,山水,设色,绢本,团扇,C5,0.7385,C3,0.2035,C13,0.0206,C24,0.0137,C25,0.0069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016435,宋,山水,设色,绢本,团扇,0,0,C6,0.0203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016436,宋,山水,设色,绢本,团扇,0,0,C4,0.1067,C5,0.0441,C26,0.0198,C10,0.0141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016438,宋,山水,设色,绢本,团扇,C4,0.7631,C32,0.1504,C53,0.0669,C9,0.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016439,宋,山水,设色,绢本,团扇,0,0,C6,0.0347,C9,0.0225,C24,0.0178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016441,宋,山水,设色,绢本,团扇,C4,0.7544,C6,0.2071,C5,0.0287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016451,宋,山水,设色,绢本,册页,0,0,C4,0.0907,C3,0.0295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016465,宋,山水,设色,绢本,团扇,0,0,C6,0.058,C5,0.0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016466,宋,山水,设色,绢本,册页,C10,0.5247,C16,0.1798,C5,0.1643,C13,0.1085,C27,0.01,C28,0.0084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016480,宋,山水,设色,绢本,团扇,0,0,C4,0.0231,C6,0.0098,C24,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D017018,五代,山水,设色,绢本,手卷,0,0,C4,0.1451,C13,0.0292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016948,宋,山水,水墨,绢本,立轴,0,0,C16,0.0843,C18,0.0553,C31,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016949,宋,山水,设色,绢本,立轴,C3,0.4763,C23,0.4601,C19,0.0553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016950,宋,山水,设色,绢本,立轴,C3,0.725,C17,0.2244,C16,0.027,C31,0.0236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016960,宋,山水,水墨,纸本,手卷,0,0,C11,0.0188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016962,宋,山水,水墨,纸本,手卷,C39,0.7394,C16,0.1363,C5,0.0856,C3,0.0293,C53,0.0058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016963,宋,山水,水墨,绢本,手卷,0,0,C53,0.1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016969,宋,山水,水墨,纸本,手卷,C8,0.7787,C11,0.143,C32,0.0462,C7,0.0168,C25,0.0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D017017,宋,山水,设色,绢本,立轴,C16,0.766,C53,0.1353,C18,0.0568,C30,0.0227,C9,0.0132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016956,宋,山水,设色,绢本,团扇,C16,0.7724,C17,0.1414,C18,0.0528,C13,0.0116,C29,0.0083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016957,宋,山水,设色,绢本,团扇,C16,0.6618,C17,0.1337,C13,0.1205,C18,0.058,C1,0.0184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016958,宋,山水,设色,绢本,立轴,0,0,C3,0.1129,C16,0.0574,C13,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016959,宋,山水,设色,绢本,团扇,C53,0.715,C3,0.252,C1,0.009,C13,0.0081,C5,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016961,宋,山水,水墨,绢本,册页,0,0,C3,0.0807,C13,0.0224,C4,0.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016971,宋,山水,设色,绢本,立轴,C16,0.5564,C3,0.1753,C16,0.1469,C13,0.0948,C53,0.0096,C30,0.0065,C23,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016973,宋,山水,设色,纸本,册页,0,0,C6,0.0956,C23,0.0296,C9,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016978,宋,山水,设色,绢本,手卷,C53,0.5698,C13,0.3413,C3,0.0887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016980,宋,山水,设色,绢本,立轴,0,0,C32,0.0666,C3,0.0414,C13,0.0123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016981,宋,山水,设色,绢本,册页,C24,0.6925,C3,0.2616,C1,0.0244,C4,0.009,C13,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016984,宋,山水,设色,绢本,册页,C16,0.6118,C18,0.3013,C13,0.0703,C29,0.0091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016985,宋,山水,设色,绢本,册页,C16,0.7703,C4,0.1214,C5,0.0524,C31,0.0293,C1,0.0121,C10,0.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016986,宋,山水,设色,绢本,册页,C16,0.609,C5,0.2849,C3,0.0781,C9,0.0079,C1,0.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016987,宋,山水,设色,绢本,册页,C17,0.5962,C3,0.1921,C13,0.1857,C5,0.0068,C31,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016988,宋,山水,设色,绢本,册页,C16,0.7747,C16,0.1083,C5,0.0616,C30,0.0403,C1,0.0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016990,宋,山水,设色,绢本,册页,C16,0.6254,C17,0.1677,C13,0.1513,C5,0.0228,C29,0.0131,C1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016991,宋,山水,设色,绢本,团扇,0,0,C19,0.0783,C6,0.0357,C11,0.0155,C32,0.0142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016992,宋,山水,设色,绢本,册页,0,0,C24,0.0985,C13,0.0763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D005026,隋,山水,设色,绢本,手卷,0,0,C21,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016994,宋,山水,设色,绢本,册页,C17,0.734,C3,0.1451,C16,0.0878,C13,0.0137,C1,0.0071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D017013,宋,山水,水墨,绢本,手卷,0,0,C4,0.0546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D017016,宋,山水,水墨,绢本,立轴,C18,0.7324,C31,0.2262,C13,0.026,C4,0.0137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016823,五代,山水,设色,绢本,手卷,0,0,C18,0.1687,C56,0.0074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016789,宋,山水,设色,绢本,册页,0,0,C3,0.0479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016790,宋,山水,设色,绢本,手卷,0,0,C18,0.1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016791,宋,山水,设色,绢本,手卷,C16,0.7014,C53,0.2242,C3,0.0543,C28,0.0176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016792,宋,山水,设色,绢本,团扇,C16,0.405,C5,0.3141,C4,0.2241,C31,0.0429,C24,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016798,宋,山水,设色,绢本,手卷,C53,0.7185,C3,0.2781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016799,宋,山水,设色,绢本,立轴,C29,0.673,C45,0.2588,C53,0.0394,C13,0.0242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016800,宋,山水,设色,绢本,团扇,C53,0.7804,C3,0.2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016787,|,山水,设色,绢本,立轴,C4,0.6198,C13,0.2114,C3,0.1454,C16,0.0202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016810,宋,山水,设色,绢本,团扇,C4,0.7901,C6,0.0938,C23,0.0635,C13,0.0387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016811,宋,山水,设色,绢本,团扇,C16,0.7256,C18,0.1173,C17,0.1075,C1,0.0229,C31,0.0099,C6,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016812,宋,山水,设色,绢本,团扇,C16,0.5394,C33,0.1444,C17,0.0606,C34,0.0449,C42,0.0379,C35,0.0225,C36,0.0205,C56,0.0182,C37,0.0182,C38,0.0162,C39,0.0152,C20,0.0113,C40,0.0109,C41,0.0078,C1,0.0072,C6,0.0065,C18,0.0054,0,0,0,0,0,0
D016815,宋,山水,设色,绢本,团扇,C42,0.7149,C31,0.1178,C18,0.0727,C17,0.0672,C43,0.0074,C1,0.0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016816,宋,山水,设色,绢本,团扇,0,0,C16,0.15,C53,0.0128,C28,0.0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016819,宋,山水,设色,绢本,团扇,C4,0.6217,C53,0.2153,C31,0.0646,C6,0.0321,C5,0.02,C9,0.0111,C12,0.0106,C22,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016822,宋,山水,设色,绢本,团扇,0,0,C44,0.0468,C45,0.0392,C46,0.0343,C47,0.0098,C43,0.0091,C48,0.0076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016126,宋,山水,设色,绢本,立轴,C17,0.6325,C5,0.2314,C1,0.0769,C10,0.0256,C31,0.0213,C9,0.0081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D016696,宋,山水,水墨,纸本,立轴,0,0,C11,0.102,C23,0.0162,C11,0.0156,C2,0.0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D015989,宋,山水,设色,绢本,手卷,C4,0.7201,C5,0.2686,C21,0.0089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D015990,宋,山水,设色,绢本,立轴,0,0,C18,0.1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D015991,宋,山水,设色,绢本,团扇,C9,0.7257,C13,0.115,C3,0.0655,C32,0.0501,C11,0.0146,C2,0.0098,C27,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D015993,宋,山水,水墨,纸本,手卷,0,0,C9,0.1043,C4,0.0421,C23,0.0108,C49,0.0102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D015994,宋,山水,设色,绢本,团扇,C16,0.6666,C4,0.1158,C6,0.0844,C21,0.0813,C3,0.0279,C1,0.0131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D015995,宋,山水,设色,纸本,手卷,C4,0.7184,C5,0.235,C39,0.0229,C21,0.0229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
